"variant_id","priority","family","regime","variant_name","change_from_full","adapted_object","requires_hidden_test_labels","compute_match_group","primary_question"
"FULL-000","P0","full","F|D|E","Full DIRS-TTA","Canonical typed graph, task-local posterior/state/patches, adaptive search router, hybrid verifier, ranked memory, and sparse scheduling","posterior|gates|budget|state|local_graph","no","C-MAS","Does the complete proposed system improve quality, reliability, and cost together?"
"BASE-001","P0","baseline","F|D|E","Direct evidence prompt","Remove the learned skill graph, search, adaptation, memory, and graph verifier","none","no","C-GEN","Does DIRS improve over direct generation from the same evidence?"
"BASE-002","P0","baseline","F|D|E","Retrieved style examples","Replace DIRS with same-domain example retrieval and direct prompting","none","no","C-GEN","Does the typed graph improve over unstructured example retrieval?"
"BASE-003","P0","baseline","F|D|E","Flat skill list","Provide learned skill nodes without dependency edges or graph execution","none","no","C-GEN","Do directed dependencies add value beyond learned skill labels?"
"BASE-004","P1","baseline","F|D|E","All compatible nodes","Execute every compatible node without subgraph selection","none","no","C-GEN","Is selective execution better than applying the whole library?"
"BASE-005","P1","baseline","F|D|E","Random connected DIRS","Sample a legal connected sub-DAG uniformly and execute it","none","no","C-SEARCH","Do learned utilities outperform random valid structure?"
"BASE-006","P0","baseline","F|D|E","Static greedy DIRS","Select the highest-scoring legal frontier action without test-time adaptation","none","no","C-SEARCH","Does adaptive search improve over a cheap graph-aware selector?"
"BASE-007","P0","baseline","F|D|E","Compute-matched self-consistency","Use one model to sample and select independent candidates with the same total compute","none","no","C-MAS","Are gains due only to generating more candidates?"
"BASE-008","P0","baseline","F|D|E","Compute-matched self-refinement","Use one model for repeated critique and revision with the same total compute","text_state","no","C-MAS","Are gains due only to iterative refinement?"
"BASE-009","P0","baseline","F|D|E","Compute-matched single recurrent model","Allocate all system compute to one recurrent reasoner","recurrent_state","no","C-MAS","Does the structured system beat extra single-model recurrence?"
"BASE-010","P1","baseline","F|D|E","Fixed agent pipeline","Use a fixed Planner-Critic-Refiner-Solver or Editor-Simulator-Evaluator chain","pipeline_state","no","C-MAS","Does dynamic graph execution beat a fixed multi-agent workflow?"
"REP-001","P0","representation","F|D|E","No content/style separation","Merge evidence content and style/action properties into one undifferentiated node schema","same_as_full","no","C-MAS","Does the dual-system representation matter?"
"REP-002","P1","representation","F","Content-only graph","Remove style, role, transition, and length properties","same_as_full","no","C-MAS","How much quality comes from source-grounded content structure alone?"
"REP-003","P1","representation","F","Style/action-only graph","Remove node-level content bindings while retaining order and role constraints","same_as_full","no","C-MAS","Can style structure help without explicit content bindings?"
"REP-004","P0","representation","F|D|E","Nodes without edges","Remove directed dependencies while keeping the node library","same_as_full","no","C-MAS","Do edges reduce invalid ordering and jumps?"
"REP-005","P1","representation","F|D|E","Untyped edges","Keep adjacency but remove SUPPLIES, VALIDATES, SCOPES, COMPARES, GATES, and REPAIRS semantics","same_as_full","no","C-MAS","Do typed relations add value beyond connectivity?"
"REP-006","P1","representation","F|D|E","Linear sequence instead of DAG","Force every selected skill plan into one chain with no branching or joins","same_as_full","no","C-MAS","Is partial-order DAG structure better than a sequence?"
"REP-007","P1","representation","F|D|E","No input/output port contracts","Remove typed artifact ports while retaining edge labels","same_as_full","no","C-MAS","Do executable data contracts prevent meaningless compositions?"
"REP-008","P1","representation","F|D|E","No AND/OR dependency groups","Replace alternative and joint prerequisites with independent edges","same_as_full","no","C-MAS","Are explicit dependency groups necessary?"
"REP-009","P1","representation","F|D|E","No context gates","Make every structurally legal node available in every context","same_as_full","no","C-MAS","Do context gates prevent wrong-domain and wrong-task skills?"
"REP-010","P0","representation","F","No evidence bindings","Remove source-to-content bindings but retain graph structure","same_as_full","no","C-MAS","Do evidence bindings reduce unsupported claims?"
"REP-011","P1","representation","F|D|E","No rejection rules","Remove node, edge, and context-specific exclusions","same_as_full","no","C-MAS","Do negative constraints improve safety and precision?"
"REP-012","P2","representation","F|D|E","Primitive-only graph","Disable reusable macro motifs and search only over primitive skill nodes","same_as_full","no","C-SEARCH","Do macro motifs improve efficiency without hiding invalid flows?"
"TRN-001","P0","offline_training","F|D|E","Hand-authored graph","Replace inverse skill learning with an expert-written graph of comparable size","same_as_full","no","C-TRAIN","Does inverse learning outperform manual graph design?"
"TRN-002","P0","offline_training","F|D|E","Single MAP inverse trace","Infer one best latent trace per expert artifact instead of a posterior over traces","same_as_full","no","C-TRAIN","Does trace uncertainty improve graph quality and calibration?"
"TRN-003","P1","offline_training","F|D|E","Raw frequency prior","Use unsmoothed training trace counts as the path prior","same_as_full","no","C-TRAIN","Is contextual calibration better than frequency alone?"
"TRN-004","P1","offline_training","F|D|E","Uniform prior","Use a non-informative prior over valid complete paths","same_as_full","no","C-TRAIN","How much value comes from learned priors?"
"TRN-005","P1","offline_training","F|D|E","Node-only learning","Learn node support but keep edges fixed or uniform","same_as_full","no","C-TRAIN","Is learned edge structure necessary?"
"TRN-006","P1","offline_training","F|D|E","Edge-only learning","Learn edge/path support with a fixed node inventory","same_as_full","no","C-TRAIN","Is node discovery necessary beyond routing?"
"TRN-007","P0","offline_training","F|D|E","No executor feedback","Train the graph from artifact traces without executing selected skills","same_as_full","no","C-TRAIN","Must proposed skills be tested through execution?"
"TRN-008","P0","offline_training","F|D|E","No verifier feedback","Remove verifier reports from graph repair and prior learning","same_as_full","no","C-TRAIN","Does structured feedback improve the learned library?"
